"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"raster","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","3.6-14",NA,NA,NA,NA
"Rcpp","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.0.10",NA,NA,NA,NA
"reproducible","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.2.16","reproducible","PredictiveEcology","HEAD","cdc7f629a2ff7574a88a3c9c85a4e824fb5fa53b"
"Require","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.2.6",NA,NA,NA,NA
"rlang","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.1.1",NA,NA,NA,NA
"RSQLite","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","2.2.20",NA,NA,NA,NA
"s2","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.1.2",NA,NA,NA,NA
"sf","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.0-9",NA,NA,NA,NA
"sp","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.6-0",NA,NA,NA,NA
"sys","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","3.4.2",NA,NA,NA,NA
"terra","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.6-53",NA,NA,NA,NA
"tibble","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","3.2.1",NA,NA,NA,NA
"units","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.8-1",NA,NA,NA,NA
"utf8","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.2.3",NA,NA,NA,NA
"uuid","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","1.1-0",NA,NA,NA,NA
"vctrs","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.5.1",NA,NA,NA,NA
"withr","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","2.5.0",NA,NA,NA,NA
"wk","C:/Users/ieddy/AppData/Roaming/R/data/R/ROF_Risk_Analysis/packages/x86_64-w64-mingw32/4.2","0.7.1",NA,NA,NA,NA
